wavelength / nm,absorption x-section / m^2 for concn=0.02 mM,absorption x-section / m^2 for concn=0.2 mM,absorption x-section / m^2 for concn=2.0 mM,absorption x-section / m^2 for concn=20.0 mM
300.0,2.3179294771216734e-21,1.5359476304274201e-21,1.5718888327869287e-22,1.4682189720159101e-23
301.0,2.2038144216610688e-21,1.5092385202794064e-21,1.5700952486072859e-22,1.4703010590771618e-23
302.0,2.108817027029989e-21,1.4710588136336773e-21,1.5721251965935483e-22,1.4704713800554612e-23
303.0,2.0138196323989099e-21,1.4290555748220429e-21,1.5684198463309528e-22,1.4668181688678556e-23
304.0,1.8997045769383049e-21,1.4042582307569819e-21,1.5628027299854048e-22,1.4631649576802499e-23
305.0,1.7282365389891222e-21,1.3393137989499167e-21,1.5648326779716674e-22,1.4614235125755966e-23
306.0,1.5376508402104145e-21,1.247604641981516e-21,1.5649508598749771e-22,1.4654173657198013e-23
307.0,1.461771106408861e-21,1.1864837423403559e-21,1.5650690417782868e-22,1.4655876866981004e-23
308.0,1.3476560509482558e-21,1.1253628426991957e-21,1.5670989897645492e-22,1.4657580076764001e-23
309.0,1.2526586563171763e-21,1.0585066448091784e-21,1.5633936395019537e-22,1.4640165625717468e-23
310.0,1.1576612616860966e-21,1.0012092773339236e-21,1.5596882892393587e-22,1.4622751174670938e-23
311.0,1.0817815278845429e-21,9.4582367594162109e-22,1.5598064711426683e-22,1.4586219062794881e-23
312.0,1.0250194549125148e-21,8.9617337279817677e-22,1.5580128869630255e-22,1.4568804611748349e-23
313.0,9.6825738194048675e-22,8.5417013398654236e-22,1.5581310688663355e-22,1.4570507821531342e-23
314.0,9.1149530896845869e-22,8.1599042734081328e-22,1.5582492507696451e-22,1.4572211031314336e-23
315.0,8.7385089682595615e-22,7.83546018943942e-22,1.5545439005070499e-22,1.4554796580267806e-23
316.0,8.5532414551297951e-22,7.6066044096183339e-22,1.5527503163274073e-22,1.4537382129221273e-23
317.0,8.3679739420000287e-22,7.4159839514562983e-22,1.552868498230717e-22,1.4558202999833794e-23
318.0,8.1827064288702613e-22,7.3018341366123674e-22,1.5548984462169794e-22,1.4559906209616787e-23
319.0,8.188615524035752e-22,7.1876843217684365e-22,1.5569283942032415e-22,1.4580727080229308e-23
320.0,8.1945246192012399e-22,7.0926521677540304e-22,1.5570465761065512e-22,1.4563312629182775e-23
321.0,8.0092571060714744e-22,7.0358553353986748e-22,1.5552529919269084e-22,1.4545898178136245e-23
322.0,7.8239895929417061e-22,7.0172938247023715e-22,1.5515476416643134e-22,1.4547601387919239e-23
323.0,7.8298986881071977e-22,7.0943206181536977e-22,1.5459305253187654e-22,1.4568422258531759e-23
324.0,8.0269843915679436e-22,7.2095827332640743e-22,1.5479604733050278e-22,1.4589243129144279e-23
325.0,8.4152467033239465e-22,7.3821978308630281e-22,1.5538139534571951e-22,1.4648299321415849e-23
326.0,8.6123324067846943e-22,7.5548129284619819e-22,1.5558439014434575e-22,1.4630884870369317e-23
327.0,8.8094181102454402e-22,7.8038986693790386e-22,1.5597856155126724e-22,1.4632588080152313e-23
328.0,9.1976804220014431e-22,8.0912197319551466e-22,1.5599037974159823e-22,1.4634291289935307e-23
329.0,9.5859427337574461e-22,8.3785407945312547e-22,1.5581102132363398e-22,1.4635994499718301e-23
330.0,9.9742050455134491e-22,8.6658618571073618e-22,1.5620519273055544e-22,1.4656815370330818e-23
331.0,1.0171290748974195e-21,8.9149475980244184e-22,1.5640818752918168e-22,1.4677636240943338e-23
332.0,1.05595530607302e-21,9.2022686606005264e-22,1.5642000571951265e-22,1.4679339450726332e-23
333.0,1.0756638764190946e-21,9.4131190798585298e-22,1.5681417712643416e-22,1.4719277982168379e-23
334.0,1.0762547859356436e-21,9.547498855798434e-22,1.5644364210017463e-22,1.4720981191951373e-23
335.0,1.0768456954521927e-21,9.6818786317383364e-22,1.5626428368221035e-22,1.4703566740904843e-23
336.0,1.0965542657982673e-21,9.8162584076782388e-22,1.5608492526424607e-22,1.468615228985831e-23
337.0,1.1162628361443419e-21,9.9888735052771926e-22,1.5609674345457704e-22,1.4687855499641304e-23
338.0,1.1359714064904165e-21,1.0161488602876146e-21,1.5629973825320328e-22,1.472779403108335e-23
339.0,1.1747976376660168e-21,1.0410574343793203e-21,1.5669390966012477e-22,1.4710379580036818e-23
340.0,1.2136238688416174e-21,1.0717013067198836e-21,1.5708808106704628e-22,1.4673847468160761e-23
341.0,1.290685421676269e-21,1.1099922433922573e-21,1.5709989925737725e-22,1.4694668338773281e-23
342.0,1.3486293136813953e-21,1.152106712230536e-21,1.5672936423111772e-22,1.4715489209385802e-23
343.0,1.4256908665160469e-21,1.1923094149858621e-21,1.5674118242144869e-22,1.4698074758339269e-23
344.0,1.5218700801802245e-21,1.234423883824141e-21,1.571353538283702e-22,1.4680660307292736e-23
345.0,1.6180492938444019e-21,1.280361884828325e-21,1.5733834862699641e-22,1.4701481177905256e-23
346.0,1.695110846679053e-21,1.3167410554177461e-21,1.5677663699244164e-22,1.4760537370176827e-23
347.0,1.7530547386841792e-21,1.3435613955924042e-21,1.5640610196618209e-22,1.4743122919130297e-23
348.0,1.7918809698597799e-21,1.3550876071034418e-21,1.5603556693992256e-22,1.4649237824765661e-23
349.0,1.8307072010353798e-21,1.3627902864485743e-21,1.5566503191366301e-22,1.4612705712889604e-23
350.0,1.8312981105519291e-21,1.3628459014618966e-21,1.5605920332058452e-22,1.4614408922672598e-23
351.0,1.7363007159208496e-21,1.343783855645693e-21,1.5607102151091551e-22,1.4616112132455592e-23
352.0,1.660420982119296e-21,1.3094276811658693e-21,1.5531813326806547e-22,1.4579580020579535e-23
353.0,1.5845412483177421e-21,1.2636009101883299e-21,1.545652450252154e-22,1.4543047908703479e-23
354.0,1.4513085320276112e-21,1.2120388409619329e-21,1.5419470999895587e-22,1.4525633457656946e-23
355.0,1.337193476567006e-21,1.1490061752378201e-21,1.5420652818928684e-22,1.4469983684951363e-23
356.0,1.2421960819359267e-21,1.0917088077625654e-21,1.5421834637961783e-22,1.445256923390483e-23
357.0,1.204551669793424e-21,1.0649996976145519e-21,1.5442134117824404e-22,1.4492507765346877e-23
358.0,1.1286719359918706e-21,1.0000552658074866e-21,1.5424198276027979e-22,1.4532446296788924e-23
359.0,1.0145568805312652e-21,9.2746376966861126e-22,1.5406262434231551e-22,1.4534149506571918e-23
360.0,9.1955948590018574e-22,8.5296050744678343e-22,1.5770679809025637e-22,1.4937323593774951e-23
361.0,8.0544443043958065e-22,7.5742781831247713e-22,1.6211567827137825e-22,1.5359615341807508e-23
362.0,7.486823574675525e-22,6.9821868475426977e-22,1.6212749646170924e-22,1.5380436212420028e-23
363.0,6.7280262366599873e-22,6.4665661552787269e-22,1.6213931465204023e-22,1.5382139422203022e-23
364.0,6.3515821152349638e-22,6.0082984455033333e-22,1.6215113284237122e-22,1.5364724971156492e-23
365.0,5.9751379938099394e-22,5.588266057386991e-22,1.6158942120781642e-22,1.5385545841769012e-23
