wavelength / nm,fluorescence / counts
447.37,321.33300000000003
447.50999999999999,326.83300000000003
447.63999999999999,311.33300000000003
447.77999999999997,295.83300000000003
447.92000000000002,317.83300000000003
448.05000000000001,342.08300000000008
448.19,332.33300000000003
448.31999999999999,303.08300000000003
448.45999999999998,311.33299999999997
448.60000000000002,341.83299999999997
448.73000000000002,312.58300000000008
448.87,279.83300000000003
449.0,288.58300000000003
449.13999999999999,303.08300000000003
449.27999999999997,303.83300000000003
449.41000000000003,306.33300000000003
449.55000000000001,313.58300000000003
449.68000000000001,271.33300000000003
449.81999999999999,242.083
449.94999999999999,251.083
450.08999999999997,226.333
450.23000000000002,216.583
450.36000000000001,231.583
450.5,244.833
450.63,251.58300000000003
450.76999999999998,252.083
450.89999999999998,261.83300000000003
451.04000000000002,261.58299999999997
451.18000000000001,272.33300000000003
451.31,292.08300000000003
451.44999999999999,286.58300000000003
451.57999999999998,270.33300000000003
451.72000000000003,260.83299999999997
451.85000000000002,259.33300000000003
451.99000000000001,258.58300000000003
452.12,250.333
452.25999999999999,227.833
452.39999999999998,225.583
452.52999999999997,234.333
452.67000000000002,215.333
452.80000000000001,203.083
452.94,195.833
453.06999999999999,206.833
453.20999999999998,224.83300000000003
453.33999999999997,225.833
453.48000000000002,241.333
453.61000000000001,253.333
453.75,246.83300000000003
453.88,232.833
454.01999999999998,238.333
454.16000000000003,246.58300000000003
454.29000000000002,233.083
454.43000000000001,223.833
454.56,200.833
454.69999999999999,190.583
454.82999999999998,213.083
454.97000000000003,205.083
455.10000000000002,191.333
455.24000000000001,198.333
455.37,214.333
455.50999999999999,233.833
455.63999999999999,228.333
455.77999999999997,221.333
455.91000000000003,214.333
456.05000000000001,187.333
456.18000000000001,173.583
456.31999999999999,185.833
456.44999999999999,194.333
456.58999999999997,189.333
456.72000000000003,191.833
456.86000000000001,176.333
456.99000000000001,150.833
457.13,171.083
457.25999999999999,191.583
457.39999999999998,183.333
457.52999999999997,168.583
457.67000000000002,170.833
457.80000000000001,200.083
457.94,217.083
458.06999999999999,222.583
458.20999999999998,221.583
458.33999999999997,225.083
458.48000000000002,238.33300000000003
458.61000000000001,239.833
458.75,232.833
458.88,227.333
459.01999999999998,231.833
459.14999999999998,237.083
459.29000000000002,228.333
459.42000000000002,221.833
459.56,237.083
459.69,231.833
459.82999999999998,223.833
459.95999999999998,233.333
460.08999999999997,228.083
460.23000000000002,241.083
460.36000000000001,252.33300000000003
460.5,236.833
460.63,229.083
460.76999999999998,236.083
460.89999999999998,241.333
461.04000000000002,228.083
461.17000000000002,211.333
461.31,214.333
461.44,215.583
461.57999999999998,208.083
461.70999999999998,203.583
461.83999999999997,194.833
461.98000000000002,204.833
462.11000000000001,221.583
462.25,211.833
462.38,200.833
462.51999999999998,184.833
462.64999999999998,176.333
462.79000000000002,207.833
462.92000000000002,236.583
463.05000000000001,217.083
463.19,187.083
463.31999999999999,194.833
463.45999999999998,192.583
463.58999999999997,181.333
463.73000000000002,195.083
463.86000000000001,198.333
463.99000000000001,203.333
464.13,197.583
464.25999999999999,184.833
464.39999999999998,213.333
464.52999999999997,229.583
464.67000000000002,211.583
464.80000000000001,197.583
464.93000000000001,209.083
465.06999999999999,222.333
465.19999999999999,214.833
465.33999999999997,215.833
465.47000000000003,198.583
465.60000000000002,178.333
465.74000000000001,183.833
465.87,184.583
466.00999999999999,188.083
466.13999999999999,195.083
466.26999999999998,199.083
466.41000000000003,183.833
466.54000000000002,161.083
466.68000000000001,177.583
466.81,202.583
466.94,201.833
467.07999999999998,187.833
467.20999999999998,193.333
467.35000000000002,217.833
467.48000000000002,215.833
467.61000000000001,204.083
467.75,203.083
467.88,195.333
468.00999999999999,194.583
468.14999999999998,192.583
468.27999999999997,170.583
468.42000000000002,176.583
468.55000000000001,183.333
468.68000000000001,174.833
468.81999999999999,186.333
468.94999999999999,187.083
469.07999999999998,190.583
469.22000000000003,198.833
469.35000000000002,191.583
469.49000000000001,179.333
469.62,177.833
469.75,183.083
469.88999999999999,182.083
470.01999999999998,186.083
470.14999999999998,188.083
470.29000000000002,193.833
470.42000000000002,205.833
470.55000000000001,195.583
470.69,190.583
470.81999999999999,186.333
470.95999999999998,179.333
471.08999999999997,207.333
471.22000000000003,213.083
