wavelength (nm),absorption cross-section (m^2)
399.0,3.12e-22
400.0,3.12e-22
401.0,3.13e-22
402.0,2.94e-22
403.0,2.76e-22
404.0,2.76e-22
405.0,2.77e-22
406.0,2.78e-22
407.0,2.78e-22
408.0,2.79e-22
409.0,2.6e-22
410.0,2.61e-22
411.0,2.61e-22
412.0,2.62e-22
413.0,2.44e-22
414.0,2.44e-22
415.0,2.45e-22
416.0,2.26e-22
417.0,2.27e-22
418.0,2.27e-22
419.0,2.28e-22
420.0,2.09e-22
421.0,2.1e-22
422.0,1.91e-22
423.0,1.73e-22
424.0,1.74e-22
425.0,1.93e-22
426.0,2.13e-22
427.0,2.14e-22
428.0,1.95e-22
429.0,1.96e-22
430.0,1.96e-22
431.0,1.97e-22
432.0,1.78e-22
433.0,1.98e-22
434.0,1.99e-22
435.0,2.18e-22
436.0,2.19e-22
437.0,2.19e-22
438.0,2.2e-22
439.0,2.4e-22
440.0,2.59e-22
441.0,2.79e-22
442.0,2.8e-22
443.0,2.8e-22
444.0,3e-22
445.0,3.2e-22
446.0,3.39e-22
447.0,3.59e-22
448.0,3.98e-22
449.0,3.99e-22
450.0,4.37e-22
451.0,4.76e-22
452.0,4.96e-22
453.0,5.35e-22
454.0,5.74e-22
455.0,5.93e-22
456.0,6.32e-22
457.0,6.9e-22
458.0,7.29e-22
459.0,7.87e-22
460.0,8.26e-22
461.0,8.45e-22
462.0,8.84e-22
463.0,9.42e-22
464.0,1e-21
465.0,1.04e-21
466.0,1.1e-21
467.0,1.14e-21
468.0,1.17e-21
469.0,1.23e-21
470.0,1.31e-21
471.0,1.39e-21
472.0,1.44e-21
473.0,1.5e-21
474.0,1.58e-21
475.0,1.68e-21
476.0,1.79e-21
477.0,1.91e-21
478.0,2.04e-21
479.0,2.16e-21
480.0,2.29e-21
481.0,2.44e-21
482.0,2.62e-21
483.0,2.79e-21
484.0,2.96e-21
485.0,3.13e-21
486.0,3.31e-21
487.0,3.48e-21
488.0,3.69e-21
489.0,3.9e-21
490.0,4.07e-21
491.0,4.25e-21
492.0,4.4e-21
493.0,4.57e-21
494.0,4.73e-21
495.0,4.88e-21
496.0,5.01e-21
497.0,5.11e-21
498.0,5.21e-21
499.0,5.32e-21
500.0,5.42e-21
